key,orig_split,class,stem,image_label,class_id,n_boxes,n_removed_components,defect_area_ratio,src_image
train__good__000,train,good,000,0,,0,0,0.000000,train\good\000.png
train__good__001,train,good,001,0,,0,0,0.000000,train\good\001.png
train__good__002,train,good,002,0,,0,0,0.000000,train\good\002.png
train__good__003,train,good,003,0,,0,0,0.000000,train\good\003.png
train__good__004,train,good,004,0,,0,0,0.000000,train\good\004.png
train__good__005,train,good,005,0,,0,0,0.000000,train\good\005.png
train__good__006,train,good,006,0,,0,0,0.000000,train\good\006.png
train__good__007,train,good,007,0,,0,0,0.000000,train\good\007.png
train__good__008,train,good,008,0,,0,0,0.000000,train\good\008.png
train__good__009,train,good,009,0,,0,0,0.000000,train\good\009.png
train__good__010,train,good,010,0,,0,0,0.000000,train\good\010.png
train__good__011,train,good,011,0,,0,0,0.000000,train\good\011.png
train__good__012,train,good,012,0,,0,0,0.000000,train\good\012.png
train__good__013,train,good,013,0,,0,0,0.000000,train\good\013.png
train__good__014,train,good,014,0,,0,0,0.000000,train\good\014.png
train__good__015,train,good,015,0,,0,0,0.000000,train\good\015.png
train__good__016,train,good,016,0,,0,0,0.000000,train\good\016.png
train__good__017,train,good,017,0,,0,0,0.000000,train\good\017.png
train__good__018,train,good,018,0,,0,0,0.000000,train\good\018.png
train__good__019,train,good,019,0,,0,0,0.000000,train\good\019.png
train__good__020,train,good,020,0,,0,0,0.000000,train\good\020.png
train__good__021,train,good,021,0,,0,0,0.000000,train\good\021.png
train__good__022,train,good,022,0,,0,0,0.000000,train\good\022.png
train__good__023,train,good,023,0,,0,0,0.000000,train\good\023.png
train__good__024,train,good,024,0,,0,0,0.000000,train\good\024.png
train__good__025,train,good,025,0,,0,0,0.000000,train\good\025.png
train__good__026,train,good,026,0,,0,0,0.000000,train\good\026.png
train__good__027,train,good,027,0,,0,0,0.000000,train\good\027.png
train__good__028,train,good,028,0,,0,0,0.000000,train\good\028.png
train__good__029,train,good,029,0,,0,0,0.000000,train\good\029.png
train__good__030,train,good,030,0,,0,0,0.000000,train\good\030.png
train__good__031,train,good,031,0,,0,0,0.000000,train\good\031.png
train__good__032,train,good,032,0,,0,0,0.000000,train\good\032.png
train__good__033,train,good,033,0,,0,0,0.000000,train\good\033.png
train__good__034,train,good,034,0,,0,0,0.000000,train\good\034.png
train__good__035,train,good,035,0,,0,0,0.000000,train\good\035.png
train__good__036,train,good,036,0,,0,0,0.000000,train\good\036.png
train__good__037,train,good,037,0,,0,0,0.000000,train\good\037.png
train__good__038,train,good,038,0,,0,0,0.000000,train\good\038.png
train__good__039,train,good,039,0,,0,0,0.000000,train\good\039.png
train__good__040,train,good,040,0,,0,0,0.000000,train\good\040.png
train__good__041,train,good,041,0,,0,0,0.000000,train\good\041.png
train__good__042,train,good,042,0,,0,0,0.000000,train\good\042.png
train__good__043,train,good,043,0,,0,0,0.000000,train\good\043.png
train__good__044,train,good,044,0,,0,0,0.000000,train\good\044.png
train__good__045,train,good,045,0,,0,0,0.000000,train\good\045.png
train__good__046,train,good,046,0,,0,0,0.000000,train\good\046.png
train__good__047,train,good,047,0,,0,0,0.000000,train\good\047.png
train__good__048,train,good,048,0,,0,0,0.000000,train\good\048.png
train__good__049,train,good,049,0,,0,0,0.000000,train\good\049.png
train__good__050,train,good,050,0,,0,0,0.000000,train\good\050.png
train__good__051,train,good,051,0,,0,0,0.000000,train\good\051.png
train__good__052,train,good,052,0,,0,0,0.000000,train\good\052.png
train__good__053,train,good,053,0,,0,0,0.000000,train\good\053.png
train__good__054,train,good,054,0,,0,0,0.000000,train\good\054.png
train__good__055,train,good,055,0,,0,0,0.000000,train\good\055.png
train__good__056,train,good,056,0,,0,0,0.000000,train\good\056.png
train__good__057,train,good,057,0,,0,0,0.000000,train\good\057.png
train__good__058,train,good,058,0,,0,0,0.000000,train\good\058.png
train__good__059,train,good,059,0,,0,0,0.000000,train\good\059.png
train__good__060,train,good,060,0,,0,0,0.000000,train\good\060.png
train__good__061,train,good,061,0,,0,0,0.000000,train\good\061.png
train__good__062,train,good,062,0,,0,0,0.000000,train\good\062.png
train__good__063,train,good,063,0,,0,0,0.000000,train\good\063.png
train__good__064,train,good,064,0,,0,0,0.000000,train\good\064.png
train__good__065,train,good,065,0,,0,0,0.000000,train\good\065.png
train__good__066,train,good,066,0,,0,0,0.000000,train\good\066.png
train__good__067,train,good,067,0,,0,0,0.000000,train\good\067.png
train__good__068,train,good,068,0,,0,0,0.000000,train\good\068.png
train__good__069,train,good,069,0,,0,0,0.000000,train\good\069.png
train__good__070,train,good,070,0,,0,0,0.000000,train\good\070.png
train__good__071,train,good,071,0,,0,0,0.000000,train\good\071.png
