kind,split,class,stem,path,size,mode,ok,nonbinary_values
image,train,good,000,train\good\000.png,1024x1024,RGB,True,
image,train,good,001,train\good\001.png,1024x1024,RGB,True,
image,train,good,002,train\good\002.png,1024x1024,RGB,True,
image,train,good,003,train\good\003.png,1024x1024,RGB,True,
image,train,good,004,train\good\004.png,1024x1024,RGB,True,
image,train,good,005,train\good\005.png,1024x1024,RGB,True,
image,train,good,006,train\good\006.png,1024x1024,RGB,True,
image,train,good,007,train\good\007.png,1024x1024,RGB,True,
image,train,good,008,train\good\008.png,1024x1024,RGB,True,
image,train,good,009,train\good\009.png,1024x1024,RGB,True,
image,train,good,010,train\good\010.png,1024x1024,RGB,True,
image,train,good,011,train\good\011.png,1024x1024,RGB,True,
image,train,good,012,train\good\012.png,1024x1024,RGB,True,
image,train,good,013,train\good\013.png,1024x1024,RGB,True,
image,train,good,014,train\good\014.png,1024x1024,RGB,True,
image,train,good,015,train\good\015.png,1024x1024,RGB,True,
image,train,good,016,train\good\016.png,1024x1024,RGB,True,
image,train,good,017,train\good\017.png,1024x1024,RGB,True,
image,train,good,018,train\good\018.png,1024x1024,RGB,True,
image,train,good,019,train\good\019.png,1024x1024,RGB,True,
image,train,good,020,train\good\020.png,1024x1024,RGB,True,
image,train,good,021,train\good\021.png,1024x1024,RGB,True,
image,train,good,022,train\good\022.png,1024x1024,RGB,True,
image,train,good,023,train\good\023.png,1024x1024,RGB,True,
image,train,good,024,train\good\024.png,1024x1024,RGB,True,
image,train,good,025,train\good\025.png,1024x1024,RGB,True,
image,train,good,026,train\good\026.png,1024x1024,RGB,True,
image,train,good,027,train\good\027.png,1024x1024,RGB,True,
image,train,good,028,train\good\028.png,1024x1024,RGB,True,
image,train,good,029,train\good\029.png,1024x1024,RGB,True,
image,train,good,030,train\good\030.png,1024x1024,RGB,True,
image,train,good,031,train\good\031.png,1024x1024,RGB,True,
image,train,good,032,train\good\032.png,1024x1024,RGB,True,
image,train,good,033,train\good\033.png,1024x1024,RGB,True,
image,train,good,034,train\good\034.png,1024x1024,RGB,True,
image,train,good,035,train\good\035.png,1024x1024,RGB,True,
image,train,good,036,train\good\036.png,1024x1024,RGB,True,
image,train,good,037,train\good\037.png,1024x1024,RGB,True,
image,train,good,038,train\good\038.png,1024x1024,RGB,True,
image,train,good,039,train\good\039.png,1024x1024,RGB,True,
image,train,good,040,train\good\040.png,1024x1024,RGB,True,
image,train,good,041,train\good\041.png,1024x1024,RGB,True,
image,train,good,042,train\good\042.png,1024x1024,RGB,True,
image,train,good,043,train\good\043.png,1024x1024,RGB,True,
image,train,good,044,train\good\044.png,1024x1024,RGB,True,
image,train,good,045,train\good\045.png,1024x1024,RGB,True,
image,train,good,046,train\good\046.png,1024x1024,RGB,True,
image,train,good,047,train\good\047.png,1024x1024,RGB,True,
image,train,good,048,train\good\048.png,1024x1024,RGB,True,
image,train,good,049,train\good\049.png,1024x1024,RGB,True,
image,train,good,050,train\good\050.png,1024x1024,RGB,True,
image,train,good,051,train\good\051.png,1024x1024,RGB,True,
image,train,good,052,train\good\052.png,1024x1024,RGB,True,
image,train,good,053,train\good\053.png,1024x1024,RGB,True,
image,train,good,054,train\good\054.png,1024x1024,RGB,True,
image,train,good,055,train\good\055.png,1024x1024,RGB,True,
image,train,good,056,train\good\056.png,1024x1024,RGB,True,
image,train,good,057,train\good\057.png,1024x1024,RGB,True,
image,train,good,058,train\good\058.png,1024x1024,RGB,True,
image,train,good,059,train\good\059.png,1024x1024,RGB,True,
image,train,good,060,train\good\060.png,1024x1024,RGB,True,
image,train,good,061,train\good\061.png,1024x1024,RGB,True,
image,train,good,062,train\good\062.png,1024x1024,RGB,True,
image,train,good,063,train\good\063.png,1024x1024,RGB,True,
image,train,good,064,train\good\064.png,1024x1024,RGB,True,
image,train,good,065,train\good\065.png,1024x1024,RGB,True,
image,train,good,066,train\good\066.png,1024x1024,RGB,True,
image,train,good,067,train\good\067.png,1024x1024,RGB,True,
image,train,good,068,train\good\068.png,1024x1024,RGB,True,
image,train,good,069,train\good\069.png,1024x1024,RGB,True,
image,train,good,070,train\good\070.png,1024x1024,RGB,True,
image,train,good,071,train\good\071.png,1024x1024,RGB,True,
image,train,good,072,train\good\072.png,1024x1024,RGB,True,
image,train,good,073,train\good\073.png,1024x1024,RGB,True,
image,train,good,074,train\good\074.png,1024x1024,RGB,True,
image,train,good,075,train\good\075.png,1024x1024,RGB,True,
image,train,good,076,train\good\076.png,1024x1024,RGB,True,
image,train,good,077,train\good\077.png,1024x1024,RGB,True,
image,train,good,078,train\good\078.png,1024x1024,RGB,True,
image,train,good,079,train\good\079.png,1024x1024,RGB,True,
image,train,good,080,train\good\080.png,1024x1024,RGB,True,
image,train,good,081,train\good\081.png,1024x1024,RGB,True,
image,train,good,082,train\good\082.png,1024x1024,RGB,True,
image,train,good,083,train\good\083.png,1024x1024,RGB,True,
image,train,good,084,train\good\084.png,1024x1024,RGB,True,
image,train,good,085,train\good\085.png,1024x1024,RGB,True,
image,train,good,086,train\good\086.png,1024x1024,RGB,True,
image,train,good,087,train\good\087.png,1024x1024,RGB,True,
image,train,good,088,train\good\088.png,1024x1024,RGB,True,
image,train,good,089,train\good\089.png,1024x1024,RGB,True,
image,train,good,090,train\good\090.png,1024x1024,RGB,True,
image,train,good,091,train\good\091.png,1024x1024,RGB,True,
image,train,good,092,train\good\092.png,1024x1024,RGB,True,
image,train,good,093,train\good\093.png,1024x1024,RGB,True,
image,train,good,094,train\good\094.png,1024x1024,RGB,True,
image,train,good,095,train\good\095.png,1024x1024,RGB,True,
image,train,good,096,train\good\096.png,1024x1024,RGB,True,
image,train,good,097,train\good\097.png,1024x1024,RGB,True,
image,train,good,098,train\good\098.png,1024x1024,RGB,True,
image,train,good,099,train\good\099.png,1024x1024,RGB,True,
image,train,good,100,train\good\100.png,1024x1024,RGB,True,
image,train,good,101,train\good\101.png,1024x1024,RGB,True,
image,train,good,102,train\good\102.png,1024x1024,RGB,True,
image,train,good,103,train\good\103.png,1024x1024,RGB,True,
