epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.53613,0.71097,0.84574,20.9
1,0.0006875,0.46400,1.21396,0.91489,16.0
2,0.001,0.26840,1.19426,0.88564,16.1
3,0.000998883,0.27304,0.73575,0.97207,17.8
4,0.000995539,0.18570,0.70501,0.95878,18.3
5,0.000989981,0.15788,1.65712,0.96277,17.3
6,0.000982235,0.16614,1.50486,0.94947,19.7
7,0.000972335,0.16152,1.85934,0.91356,16.2
8,0.000960325,0.05564,1.10096,0.94548,17.0
9,0.000946259,0.04573,0.82153,0.98670,17.8
10,0.000930201,0.04814,0.37034,0.98005,16.5
11,0.000912221,0.08062,0.15261,0.99468,17.5
12,0.0008924,0.06582,0.08806,0.99202,17.9
13,0.000870826,0.03597,0.32019,0.97606,17.7
14,0.000847596,0.01714,0.24509,0.98271,16.2
15,0.000822814,0.01744,0.24084,0.99069,17.0
16,0.00079659,0.10520,0.12156,0.99202,17.5
17,0.000769041,0.06185,0.26098,0.93617,17.2
18,0.000740291,0.04383,0.19220,0.98138,17.6
19,0.000710467,0.02210,0.20126,0.99069,16.3
20,0.000679704,0.01245,0.21356,0.99867,17.7
21,0.000648138,0.03355,0.30602,0.99867,15.4
22,0.00061591,0.02796,0.13084,0.99734,17.4
23,0.000583165,0.02987,0.09599,0.99734,16.8
24,0.000550048,0.01804,0.06474,0.99867,16.8
25,0.000516707,0.04258,0.09686,0.99867,18.2
26,0.000483293,0.01272,0.19780,0.99867,17.6
27,0.000449952,0.01208,0.20333,0.99867,19.1
28,0.000416835,0.00803,0.30908,0.99601,15.8
29,0.00038409,0.00168,0.31293,0.99202,17.8
30,0.000351862,0.00424,0.27093,0.99601,18.0
31,0.000320296,0.01409,0.19990,0.99601,15.9
32,0.000289533,0.00090,0.17768,0.99468,17.4
33,0.000259709,0.00448,0.18299,0.99601,18.1
34,0.000230959,0.00287,0.19107,0.99601,16.5
35,0.00020341,0.00852,0.18698,0.99601,17.5
