epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.60696,0.58542,0.73901,15.3
1,0.0006875,0.48215,0.94458,0.80709,14.9
2,0.001,0.47506,0.58007,0.97872,14.1
3,0.000998883,0.43728,0.57644,0.89504,13.7
4,0.000995539,0.36031,0.30488,0.91489,14.1
5,0.000989981,0.32307,0.33685,0.88652,13.9
6,0.000982235,0.34404,0.31910,0.90071,13.4
7,0.000972335,0.28376,0.19524,0.95035,16.8
8,0.000960325,0.20870,0.43897,0.96879,26.8
9,0.000946259,0.22403,0.44975,0.96170,19.2
10,0.000930201,0.19805,0.16262,0.97447,16.9
11,0.000912221,0.17507,0.18117,0.98723,19.4
12,0.0008924,0.12890,0.06354,1.00000,16.9
13,0.000870826,0.27393,0.01705,1.00000,17.0
14,0.000847596,0.22064,0.21754,1.00000,16.0
15,0.000822814,0.15991,0.03430,1.00000,15.5
16,0.00079659,0.20944,0.11438,0.99858,13.7
17,0.000769041,0.14549,0.12479,0.99858,15.3
18,0.000740291,0.12029,0.23919,0.96170,15.8
19,0.000710467,0.13580,0.94691,0.98440,14.8
20,0.000679704,0.07245,0.02263,1.00000,14.7
21,0.000648138,0.07095,0.00556,1.00000,13.3
22,0.00061591,0.07136,0.00174,1.00000,15.0
23,0.000583165,0.12558,0.01855,1.00000,17.4
24,0.000550048,0.12239,0.02567,1.00000,14.8
25,0.000516707,0.11632,0.04665,1.00000,15.5
26,0.000483293,0.04950,0.00150,1.00000,15.0
27,0.000449952,0.12190,0.01119,1.00000,19.2
