epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.54270,0.77596,0.90957,26.6
1,0.0006875,0.43707,1.13085,0.95080,26.3
2,0.001,0.25852,0.19009,0.98670,24.3
3,0.000998883,0.28126,0.29924,0.92154,25.1
4,0.000995539,0.20131,0.15205,0.97606,24.6
5,0.000989981,0.12880,0.75067,0.99069,25.4
6,0.000982235,0.15025,0.16635,0.99335,23.7
7,0.000972335,0.13254,0.14552,0.98936,25.4
8,0.000960325,0.06346,0.15991,0.99069,31.3
9,0.000946259,0.11906,0.09432,0.99867,31.5
10,0.000930201,0.05399,0.19274,1.00000,28.5
11,0.000912221,0.05647,0.08536,1.00000,33.4
12,0.0008924,0.11338,0.03280,1.00000,27.8
13,0.000870826,0.05742,0.12578,1.00000,27.6
14,0.000847596,0.02382,0.10148,1.00000,26.0
15,0.000822814,0.04909,0.32426,0.99601,25.1
16,0.00079659,0.08965,0.30467,0.97872,26.1
17,0.000769041,0.07308,0.06841,0.99867,29.0
18,0.000740291,0.01397,0.01730,1.00000,29.1
19,0.000710467,0.03177,0.10072,1.00000,29.2
20,0.000679704,0.02734,0.01185,1.00000,26.9
21,0.000648138,0.04175,0.00441,1.00000,26.0
22,0.00061591,0.02200,0.07904,0.99867,25.2
23,0.000583165,0.00644,0.08569,1.00000,23.4
24,0.000550048,0.00561,0.05838,1.00000,25.6
25,0.000516707,0.00306,0.03541,0.99867,25.2
