epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.61436,0.60436,0.77246,32.0
1,0.0006875,0.52032,0.64240,0.83188,34.0
2,0.001,0.42320,0.49250,0.90000,33.3
3,0.000998883,0.32000,0.55330,0.89855,32.7
4,0.000995539,0.31975,0.71286,0.88406,31.7
5,0.000989981,0.30789,0.66404,0.91594,33.4
6,0.000982235,0.23085,0.63479,0.87246,32.9
7,0.000972335,0.25875,0.97402,0.92754,32.9
8,0.000960325,0.14385,0.46596,0.91304,32.3
9,0.000946259,0.15783,0.92475,0.90290,33.9
10,0.000930201,0.14101,0.95476,0.96087,33.8
11,0.000912221,0.23120,0.25475,0.96957,31.4
12,0.0008924,0.18627,0.22683,0.96957,32.5
13,0.000870826,0.11414,0.16381,0.98696,32.5
14,0.000847596,0.09619,0.36176,0.96232,33.3
15,0.000822814,0.13281,0.27812,0.97246,32.6
16,0.00079659,0.09046,0.13843,0.98986,31.4
17,0.000769041,0.10270,0.34457,0.94493,32.2
18,0.000740291,0.13792,0.27317,0.93623,32.8
19,0.000710467,0.10446,0.21983,0.94638,31.3
20,0.000679704,0.05531,0.33325,0.94783,32.1
21,0.000648138,0.07370,0.54613,0.94638,32.1
22,0.00061591,0.05206,0.29320,0.94348,34.8
23,0.000583165,0.05185,0.27496,0.93913,34.3
24,0.000550048,0.05760,0.30574,0.93188,32.6
25,0.000516707,0.06607,0.34171,0.93043,33.0
26,0.000483293,0.03982,0.36208,0.92754,32.0
27,0.000449952,0.04705,0.28974,0.95507,33.7
28,0.000416835,0.04028,0.23414,0.97826,31.9
29,0.00038409,0.06465,0.30959,0.96522,32.9
30,0.000351862,0.03438,0.31002,0.96377,32.2
31,0.000320296,0.09416,0.37276,0.96232,32.4
